"vsrl_a6321","vsrl_a6335","vsrl_a6340","sirenidetablissementaffectationiddeclaration","nicidetablissementaffectationiddeclaration","anneemoisdeclareiddeclarationmensuelle","statutdeclaration","typedeclaration","ordre","fraction","statutenveloppe","idenvarchive","ididarchivedsn","datemodification","versionnorme","pointdepot","modedepot","origineflux","type","idtpt"
"19361107","17790842","30179704","811481845","00014","2022-08-01","02","02","220914092155738","1","01","000001","WSquRTSavDcOoeLtjYsHJJ3","2022-09-14 09:25:57.268","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19599365","18011103","30544790","822060596","00019","2022-09-01","02","01","221005160520972","6","01","000001","WS1DOhwt2APr6FHRSG-un1X","2022-10-05 16:20:40.391","P22V01","02","MtoM","MSADO","DSN","\N"
"19599366","18011104","30544791","822060596","00019","2022-09-01","02","01","221005160419033","7","01","000001","WSY741TCnMMI60MV0.CawP5","2022-10-05 16:20:41.987","P22V01","02","MtoM","MSADO","DSN","\N"
"19135617","17579494","29799990","824109680","00069","2022-08-01","02","01","255091060726508","1","01","000001","WS5hbiytxz3jLTC9SmT2Z7B","2022-09-02 08:57:48.754","P22V01","01","MtoM","CNAV","HISTO_IJ","\N"
"19135618","17579495","29799991","824109680","00069","2022-08-01","02","01","255091060726508","1","01","000001","WS5hbiytxz3jLTC9SmT2Z7B","2022-09-02 08:57:49.128","P22V01","01","MtoM","CNAV","HISTO_IJ","\N"
"19133087","17576988","29795352","824915722","00014","2022-08-01","01","01","0","1","01","000001","WSRCNlhuMj9p5BCRbzvJ3XZ","2022-09-02 06:19:12.433","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19133100","17576995","29795359","824915722","00014","2022-08-01","01","01","0","1","01","000001","WSRCNlhuMj9p5BCRbzvJ3XZ","2022-09-02 06:19:12.83","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19345763","17776503","30152590","835131434","00010","2022-08-01","02","01","220913121704023","1","01","000001","WS-gdIdDKOyQ61DNIx2mXCe","2022-09-13 13:52:46.572","P22V01","01","MtoM","CNAV","HISTO_IJ","\N"
"19345764","17776504","30152591","835131434","00010","2022-08-01","02","01","220913121704023","1","01","000001","WS-gdIdDKOyQ61DNIx2mXCe","2022-09-13 13:52:46.987","P22V01","01","MtoM","CNAV","HISTO_IJ","\N"
"19034260","17508538","29681620","842532541","00013","2022-08-01","02","01","1","3","01","000001","WS.Pm4YeXpkbaREZhi6Wmlc","2022-08-26 15:29:52.435","P22V01","02","MtoM","MSADO","DSN","\N"
"19034262","17508540","29681622","842532541","00013","2022-08-01","02","02","0","2","01","000001","WSMTEAtpWsC4bdDxtGupC-H","2022-08-26 15:29:53.04","P22V01","02","MtoM","MSADO","DSN","\N"
"19646051","18055451","30625489","852028539","00017","2022-09-01","01","02","221007153119452","1","01","000001","WSHhntMXwx7BaDAl5aYouYc","2022-10-07 15:36:10.54","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19646054","18055452","30625490","852028539","00017","2022-09-01","01","02","221007153119452","1","01","000001","WSHhntMXwx7BaDAl5aYouYc","2022-10-07 15:36:10.9","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19739562","18143878","30787696","898908652","00024","2022-09-01","02","01","1","1","01","000001","WSNslpKzCdngZ.E5gTN-lof","2022-10-12 13:07:45.96","P22V01","01","MtoM","CNAV","HISTO_IJ","\N"
"19739563","18143879","30787697","898908652","00024","2022-09-01","02","01","1","1","01","000001","WSNslpKzCdngZ.E5gTN-lof","2022-10-12 13:07:46.27","P22V01","01","MtoM","CNAV","HISTO_IJ","\N"
