"vsrl_a6321","vsrl_a6335","vsrl_a6340","sirenidetablissementaffectationiddeclaration","nicidetablissementaffectationiddeclaration","anneemoisconstitutionidsignalement","natureiddeclaration","statutdeclaration","typedeclaration","ordre","fraction","statutenveloppe","idenvarchive","ididarchivedsn","datemodification","versionnorme","pointdepot","modedepot","origineflux","type","idtpt"
"19309409","17741948","30089479","449996453","00014","202209","07","01","01","220912141057924","1","01","000001","WSApK8XEsFB.onPlwGH1Gfg","2022-09-12 14:16:23.167","P22V01","02","MtoM","MSADO","DSN","\N"
"19309410","17741949","30089481","449996453","00014","202209","07","01","01","220912141057924","1","01","000001","WSApK8XEsFB.onPlwGH1Gfg","2022-09-12 14:16:23.608","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19464304","17885247","30330502","453333171","00016","202209","07","01","01","220926144017463","1","01","000001","WS3hezU7qWpkaFJxioDOEzb","2022-09-26 14:46:11.845","P22V01","02","MtoM","MSADO","DSN","\N"
"19464305","17885249","30330505","453333171","00016","202209","07","01","01","220926144017463","1","01","000001","WS3hezU7qWpkaFJxioDOEzb","2022-09-26 14:46:12.374","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19121382","17566095","29776433","453565962","00017","202209","07","01","01","220901135903493","1","01","000001","WSSx3xLUSxks4kMtLqc0Uml","2022-09-01 14:01:12.928","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19121383","17566096","29776434","453565962","00017","202209","07","01","01","220901135903493","1","01","000001","WSSx3xLUSxks4kMtLqc0Uml","2022-09-01 14:01:13.116","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19531012","\N","\N","487846297","00017","202210","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19531026","\N","\N","487846297","00017","202210","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19531039","\N","\N","487846297","00017","202210","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19181305","\N","\N","489272344","00016","202209","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19181683","\N","\N","489272344","00016","202209","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19779680","\N","\N","494716343","00012","202210","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19789536","\N","\N","494716343","00012","202210","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19781524","18183056","30858247","511428658","00013","202210","07","01","01","221014125218024","1","01","000001","WSGanGLdBP5Pb-OBGDFEYPX","2022-10-14 13:01:38.47","P22V01","02","MtoM","CTIP","DSN_OC","\N"
